feature,class
"[-2.6338861e+02  9.7689384e+01  1.4446837e+01  5.1926579e+01
 -5.0044546e+00 -7.6660571e+00 -1.8697054e+01  5.6769695e+00
 -2.8479120e+01  1.6924740e+00 -1.4123826e+01  5.4124532e+00
 -1.0719502e+01  9.0864325e+00 -3.3159227e+00 -1.6805100e+00
 -3.4374359e+00 -5.0842323e+00  8.3897948e-01 -2.7968347e+00
 -8.4707987e-01 -5.5447621e+00 -6.3457899e+00  1.1812119e-01
 -6.6745458e+00 -2.5083117e+00  4.1792531e+00 -5.7827463e+00
 -8.7052584e+00 -8.7158132e-01 -4.7645335e+00 -3.6422842e+00
 -6.9936938e+00 -3.2114990e+00 -8.3497065e-01 -7.5161093e-01
 -1.3443884e+00  1.2117708e-01  1.9408940e+00  7.7291615e-02]",fa_him
"[-260.95587     97.194695    23.657959    61.07626     -2.1959407
   -6.1774096  -16.400337    16.421062   -30.615576     4.2799907
  -22.029278     3.7436736   -9.832124     9.58383     -8.609337
   -3.9417932   -9.975918    -2.9749207   -4.8865757    1.0965854
   -2.8220098   -6.37247    -13.391336    -1.4558921   -5.5168777
   -5.0192065   -0.5799555   -5.954434    -7.8944306    0.6748812
   -4.4527335   -5.149317    -7.2899566   -3.4932983   -3.5903234
   -4.944036    -3.3883638   -3.9985807   -2.293271    -1.3516126]",fa_him
"[-3.0518051e+02  8.9577950e+01  1.1064317e+01  2.3693829e+01
 -9.6336946e+00  3.8288636e+00 -1.5210706e+01  1.1315628e+01
 -2.0141876e+01  1.1626723e+01 -1.2015384e+01  6.5625439e+00
 -9.7955236e+00  1.0158235e+01 -1.3503007e+00  4.2386565e+00
 -1.3923421e+00 -3.1825790e+00  3.7934294e+00 -2.0146267e+00
  2.6491294e+00 -2.2860222e+00 -5.7738929e+00 -6.4783282e+00
 -4.0596433e+00 -2.1842222e+00  2.2079867e-01 -3.5205100e+00
 -7.3925481e+00  9.9170852e-01 -2.9034121e+00 -1.8513058e+00
 -6.2329373e+00 -8.3127075e-01 -1.9958134e+00  2.3992746e+00
 -1.8733318e+00 -1.5502739e+00  5.0859338e-01 -1.0580026e+00]",fa_him
"[-3.0290750e+02  7.7834503e+01  1.4698231e+01  5.2346485e+01
  9.5669556e-01  4.3510160e-01 -1.5613026e+01  1.2105161e+01
 -2.1999651e+01  2.7379503e+00 -1.5769125e+01  5.4613442e+00
 -1.4483680e+01  9.8532839e+00 -3.8021924e+00  3.5202277e+00
 -2.2327566e+00  1.6490649e+00  3.6083516e-01  5.5478656e-01
  2.7716029e+00 -6.2811446e+00 -6.5742569e+00 -1.6112889e+00
 -5.6423273e+00 -2.3248594e+00  6.6069347e-01 -4.0740414e+00
 -8.2381611e+00 -4.2669582e-01 -5.6563959e+00 -2.2228017e+00
 -5.7846718e+00 -2.1551783e+00  6.0777670e-01 -1.8377107e-01
 -2.3342369e+00 -6.2797225e-01 -2.3815393e+00 -3.3195219e+00]",fa_him
"[-2.2482599e+02  7.7873047e+01  1.9506617e+01  4.4780663e+01
 -5.8763080e+00 -5.2099972e+00 -2.7976732e+01  8.2797670e+00
 -2.9695374e+01  7.7684331e+00 -1.8103907e+01  7.7006435e+00
 -1.7404358e+01  1.2674422e+01 -2.0321472e+00  1.0381119e+00
 -6.9719014e+00 -1.9778064e+00 -2.3945408e+00  2.8690252e+00
 -1.0644256e+00 -1.9111427e+00 -1.0723930e+01 -8.4251821e-01
 -8.4417410e+00 -3.7214499e+00 -1.7128654e+00 -9.4389200e+00
 -7.4997587e+00 -3.8746932e+00 -6.2443372e-02 -4.7743692e+00
 -3.0185633e+00  1.6920112e+00  4.6374273e+00  6.0000520e+00
  8.6532766e-01  2.3719871e+00  8.7133366e-01 -3.0356660e+00]",fa_him
"[-2.7392804e+02  1.1269153e+02  1.1350349e+01  6.3375607e+01
  3.4429929e+00 -9.3633556e+00 -7.4406757e+00  5.9693222e+00
 -2.7827972e+01  1.3139297e+00 -1.9284361e+01  2.0549867e+00
 -1.4057752e+01  1.5977634e+00 -8.7342697e-01 -1.5946475e+00
 -6.0114207e+00 -2.5078166e+00  1.2703471e-01 -5.6627941e+00
  9.9533063e-01 -3.6402109e+00 -1.0417251e+01 -3.0957062e+00
 -3.0556731e+00 -7.5211287e+00 -4.2752765e-02 -6.6072750e+00
 -6.4092240e+00 -5.6828332e+00 -3.8254874e+00 -2.6377459e+00
 -8.9010410e+00 -3.1602583e+00 -2.5290980e+00 -2.4599380e+00
 -3.5732696e+00 -3.3698425e+00  1.2183549e-01 -5.3122754e+00]",fa_him
"[-2.5283354e+02  1.1000021e+02  1.9451864e+01  5.6155788e+01
  6.8373289e+00 -1.4605566e+01 -1.4622187e+01  7.5072665e+00
 -3.4386372e+01  2.6298246e+00 -1.3864987e+01 -4.4910865e+00
 -1.5544686e+01  1.0195398e+01 -3.1051133e+00 -7.4237332e+00
 -7.6324415e+00 -4.3779721e+00 -7.0313234e+00 -5.5806041e+00
 -2.3006499e+00 -4.6949210e+00 -9.5608387e+00 -1.9177104e+00
 -3.6965208e+00 -4.2465115e+00  2.1692158e-01 -9.7069187e+00
 -5.7029533e+00 -9.1066399e+00 -2.2602174e+00 -4.7260671e+00
 -1.1443905e+01 -3.4287043e+00 -3.3321283e+00 -1.5972677e-01
  1.3231468e+00  3.5858505e+00  3.4136429e+00 -4.4862971e+00]",fa_him
"[-288.76614    109.36987      4.2741227   55.016483    10.491775
  -20.725363   -10.202401     8.588369   -22.590374     4.215245
  -18.486155    -1.2778506  -13.036258     8.664528    -3.3751795
   -2.1636004   -2.8235655   -2.8433874   -1.0155414   -1.6991378
    3.9944277   -4.829085    -6.3160996   -3.971923    -3.3248925
   -3.4938815   -0.4470611   -4.807301    -6.8088317   -2.0872116
   -2.069691    -2.527241    -7.8437486   -2.1126842   -1.1397029
   -1.9839191   -1.8994027   -4.7226634   -2.1073594   -4.0647807]",fa_him
"[-236.74298      73.05844      18.9995       59.987904     -7.8527813
   -3.377619    -20.589113     13.688266    -26.93351       5.0859933
  -19.834846      7.1961656   -14.824185     11.467818     -7.038489
    0.451915     -6.490498      1.9672151    -2.5889158     1.6928718
   -0.29053915    0.5761619    -9.856548      1.1025747    -6.967554
   -3.2193167     0.36682597   -6.3922777    -7.8480306    -4.2188497
   -1.4970753    -2.7236025    -5.6090183    -3.945278     -0.2530235
   -1.183627     -4.857968     -1.1576701    -1.6137204    -5.5830846 ]",fa_him
"[-302.06946      84.52965       8.89548      47.54896       8.307293
   -6.7917323   -18.612383      6.24237     -19.907286      3.567303
  -16.496351      6.560857    -10.569299      7.779455      1.0372256
    1.0733677    -0.8963538    -0.3042275     0.91570264    0.33682176
    1.7223206    -5.2080154    -7.4406924    -2.3542662    -4.9452915
   -5.557178      0.9013741    -3.441434     -8.102949     -3.876361
   -3.2580583    -2.3249328    -8.214808     -1.6517731     0.50707793
    3.6794312     2.2588124     5.861165      5.499685     -2.109551  ]",fa_him
